iter	MultiClass
0	1.447169333
1	1.328255347
2	1.238929132
3	1.161743855
4	1.095644151
5	1.042998863
6	0.9980204005
7	0.9596323909
8	0.9231509024
9	0.890381421
10	0.8600420871
11	0.8314733926
12	0.8074558561
13	0.7842587087
14	0.7624406752
15	0.7409801332
16	0.7236529279
17	0.7051079154
18	0.690013867
19	0.6752513435
20	0.6609027342
21	0.6492957019
22	0.6385490105
23	0.6285306246
24	0.618506185
25	0.6086957741
26	0.5995364286
27	0.5898670384
28	0.5812695312
29	0.573264781
30	0.5657609437
31	0.5581353263
32	0.5509208122
33	0.545386335
34	0.539186985
35	0.5330332039
36	0.5266265891
37	0.521146376
38	0.5164954875
39	0.5094667177
40	0.5039004636
41	0.4989610887
42	0.4943854391
43	0.4893720123
44	0.4850233445
45	0.4792038938
46	0.4753118755
47	0.4705936429
48	0.467331284
49	0.4632990519
50	0.4596502974
51	0.4555794117
52	0.4526744188
53	0.4488318732
54	0.4452714345
55	0.4425185542
56	0.4391432646
57	0.4362409802
58	0.4329401781
59	0.4295502762
60	0.426642004
61	0.4240569701
62	0.4212743103
63	0.4195390038
64	0.4169282607
65	0.4146328999
66	0.4107931987
67	0.4082383787
68	0.4059442839
69	0.4033544703
70	0.4013175823
71	0.3992484309
72	0.3979989408
73	0.3961263196
74	0.3933341837
75	0.3912702643
76	0.3896527848
77	0.3879120266
78	0.3859253771
79	0.3833561858
80	0.381417114
81	0.3794187592
82	0.3774764392
83	0.3754751285
84	0.373429628
85	0.3714354213
86	0.3698342661
87	0.3680888065
88	0.3667139801
89	0.3655775699
90	0.3642170714
91	0.3627871217
92	0.3614334584
93	0.3601889567
94	0.3593244537
95	0.3576893163
96	0.3564516762
97	0.3542555894
98	0.3530712046
99	0.3516662547
100	0.3506031111
101	0.3490577263
102	0.3473775562
103	0.3462309393
104	0.3445744385
105	0.3431570427
106	0.341537774
107	0.3405004887
108	0.3391881825
109	0.337824309
110	0.3365097076
111	0.3353593948
112	0.3340060561
113	0.33251633
114	0.3316483999
115	0.3302108091
116	0.3284513466
117	0.3274960675
118	0.326694925
119	0.325868617
120	0.3250443256
121	0.3241229844
122	0.3225736443
123	0.3217452368
124	0.3204683612
125	0.3189274459
126	0.3185429595
127	0.3182681035
128	0.3168819007
129	0.3159614422
130	0.3154259321
131	0.3145506165
132	0.3131853465
133	0.3128247135
134	0.3120078306
135	0.3108778763
136	0.3106431769
137	0.3097638686
138	0.3091432956
139	0.3082880267
140	0.3082069178
141	0.3077384578
142	0.3077157781
143	0.3066583271
144	0.3057326043
145	0.3049230121
146	0.3039984436
147	0.3032314144
148	0.3023739292
149	0.3023608492
150	0.301380981
151	0.3010665685
152	0.3007832505
153	0.2994774401
154	0.2987762041
155	0.2981298801
156	0.2977420998
157	0.297371407
158	0.2967342534
159	0.2966051026
160	0.2965573576
161	0.2965222501
162	0.2964757079
163	0.296104495
164	0.2960854162
165	0.2956592155
166	0.2951578002
167	0.294729116
168	0.2947124163
169	0.2943162532
170	0.2935642479
171	0.2930017719
172	0.2920723612
173	0.2917289965
174	0.2917081087
175	0.2916850992
176	0.2908299777
177	0.2907848748
178	0.2907724127
179	0.2898407549
180	0.2890989024
181	0.2888894915
182	0.2888702503
183	0.2884947299
184	0.2882490017
185	0.288044702
186	0.2880251639
187	0.2880103413
188	0.2879979199
189	0.2878197917
190	0.2870922076
191	0.2869043514
192	0.286738845
193	0.2867224519
194	0.2865535659
195	0.2865274619
196	0.2863867867
197	0.2858381064
198	0.2857030579
199	0.2856043051
200	0.2854048082
201	0.2853806053
202	0.2850399311
203	0.2850005652
204	0.2849834304
205	0.2843076379
206	0.2842844129
207	0.2839402901
208	0.2839264985
209	0.2837059705
210	0.2836042693
211	0.2835771021
212	0.2832138999
213	0.2831951184
214	0.2829937933
215	0.2829770563
216	0.2829628175
217	0.282945237
218	0.2826853931
219	0.2824823167
220	0.2824640798
221	0.2822953177
222	0.2822675513
223	0.2821996389
224	0.2819227242
225	0.2815113372
226	0.2807389992
227	0.2805844424
228	0.2805702483
229	0.2802570226
230	0.2802455131
231	0.2802291432
232	0.2801122957
233	0.2800949392
234	0.280062937
235	0.2798429042
236	0.2798232418
237	0.2796066998
238	0.279369703
239	0.2793283633
240	0.279137223
241	0.2788716475
242	0.2782544181
243	0.2776382073
244	0.2776206875
245	0.2774852384
246	0.2774622957
247	0.2774424132
248	0.2774291952
249	0.2774152992
250	0.2767963924
251	0.2767849411
252	0.2767700029
253	0.2767507184
254	0.2767203324
255	0.2766995124
256	0.2765560927
257	0.2765366841
258	0.2762790853
259	0.2761036181
260	0.2760700179
261	0.2760548987
262	0.2756668685
263	0.275635377
264	0.2754132738
265	0.2753965403
266	0.2748927111
267	0.2748725689
268	0.2746959901
269	0.2746728569
270	0.2746527076
271	0.2746335556
272	0.2746222766
273	0.2745853693
274	0.2742721547
275	0.2741318507
276	0.2739798019
277	0.2736873822
278	0.2735325472
279	0.2735180405
280	0.2734751425
281	0.2734466319
282	0.2734306017
283	0.2734107711
284	0.2733969432
285	0.2733067149
286	0.2732944582
287	0.2731171331
288	0.2725747014
289	0.2725547112
290	0.2725255495
291	0.2724044368
292	0.272266066
293	0.2722479091
294	0.2720393026
295	0.2718074156
296	0.2717897309
297	0.2717639121
298	0.271526663
299	0.2714854821
300	0.2710773256
