iter	Passed	Remaining
0	3464	3461262
1	4508	2249772
2	5357	1780550
3	6210	1546513
4	7072	1407383
5	7904	1309559
6	8754	1241837
7	9620	1193000
8	10434	1148909
9	11380	1126684
10	12262	1102499
11	13130	1081067
12	13988	1062042
13	14809	1043022
14	15685	1029989
15	16549	1017793
16	17381	1005077
17	18231	994621
18	19083	985297
19	19983	979185
20	20926	975581
21	21733	966159
22	22639	961667
23	23532	956977
24	24425	952594
25	25277	946918
26	26191	943853
27	27046	938913
28	27908	934465
29	28780	930566
30	29652	926872
31	30642	926935
32	31449	921569
33	32294	917543
34	33277	917497
35	34148	914423
36	34957	909836
37	36239	917443
38	37824	932030
39	39100	938406
40	40118	938373
41	41003	935259
42	41869	931835
43	42846	930930
44	43819	929945
45	44669	926414
46	45616	924946
47	46632	924870
48	47775	927243
49	48736	925984
50	49661	924102
51	50488	920452
52	51322	917025
53	52201	914492
54	53137	912995
55	54001	910307
56	54882	907964
57	55773	905831
58	56657	903642
59	57477	900481
60	58339	898051
61	59261	896562
62	60108	893996
63	60968	891659
64	61797	888933
65	62713	887485
66	63655	886429
67	64573	885031
68	65376	882103
69	66224	879837
70	67222	879569
71	68317	880536
72	69298	879996
73	70171	878094
74	71043	876200
75	71932	874542
76	72870	873502
77	73988	874587
78	74827	872352
79	75655	870037
80	76443	867299
81	77229	864590
82	78031	862102
83	78822	859544
84	79619	857077
85	80418	854683
86	81309	853280
87	82098	850839
88	82900	848564
89	83712	846427
90	84579	844866
91	85367	842535
92	86155	840248
93	86936	837916
94	87710	835557
95	88497	833349
96	89278	831117
97	90096	829251
98	90883	827130
99	91682	825140
100	92479	823159
101	93311	821503
102	94111	819592
103	94895	817559
104	95683	815590
105	96511	813970
106	97296	812014
107	98077	810049
108	98874	808234
109	99680	806505
110	100518	805055
111	101316	803296
112	102099	801435
113	102895	799696
114	103738	798334
115	104539	796662
116	105336	794976
117	106125	793245
118	107060	792610
119	107977	791838
120	108778	790215
121	109564	788508
122	110389	787083
123	111171	785370
124	111956	783692
125	112773	782254
126	113559	780607
127	114350	779016
128	115141	777431
129	115919	775767
130	116691	774080
131	117524	772810
132	118328	771359
133	119092	769658
134	119878	768110
135	120668	766597
136	121528	765540
137	122317	764039
138	123101	762523
139	123980	761591
140	124842	760564
141	125678	759380
142	126462	757890
143	127316	756826
144	128138	755577
145	128967	754373
146	129814	753278
147	130602	751844
148	131402	750494
149	132317	749801
150	133225	749064
151	134158	748464
152	135003	747369
153	135856	746329
154	136647	744948
155	137491	743864
156	138292	742551
157	139145	741521
158	139946	740219
159	140872	739582
160	141860	739260
161	142745	738399
162	143648	737629
163	144700	737620
164	145565	736649
165	146480	735934
166	147305	734765
167	148102	733460
168	148884	732087
169	149653	730662
170	150441	729335
171	151222	727978
172	152008	726654
173	152804	725382
174	153581	724024
175	154382	722792
176	155370	722428
177	156176	721217
178	157137	720726
179	158112	720289
180	158987	719397
181	159907	718706
182	160831	718029
183	161694	717081
184	162586	716257
185	163525	715643
186	164399	714741
187	166431	718841
188	167575	719067
189	168383	717846
190	169251	716881
191	170128	715958
192	171055	715241
193	171961	714438
194	172879	713680
195	173715	712590
196	174655	711918
197	175705	711696
198	176504	710451
199	177375	709502
200	178285	708707
201	180371	712557
202	182095	714927
203	183991	717928
204	185278	718519
205	186962	720621
206	188044	720381
207	190111	723884
208	192834	729819
209	195441	735233
210	198880	743680
211	202668	753314
212	205910	760805
213	208007	763989
214	209559	765134
215	211391	767274
216	212615	767178
217	213489	765819
218	214358	764448
219	215221	763058
220	216392	762757
221	217246	761341
222	218074	759836
223	218932	758444
224	219789	757054
225	220617	755565
226	221518	754333
227	222403	753049
228	223331	751916
229	224779	752523
230	226156	752876
231	227724	753847
232	228837	753297
233	229971	752813
234	230888	751616
235	231774	750319
236	232613	748878
237	233447	747424
238	234443	746492
239	235370	745339
240	236201	743889
241	237085	742605
242	237940	741239
243	238789	739857
244	239618	738417
245	240448	736985
246	241290	735592
247	242118	734166
248	242935	732710
249	243758	731274
250	244606	729922
251	245503	728716
252	247072	729500
253	247996	728366
254	248899	727176
255	249753	725847
256	250596	724487
257	251420	723077
258	252244	721673
259	253057	720240
260	253939	719008
261	254813	717756
262	255711	716574
263	256692	715628
264	257636	714575
265	258500	713305
266	259405	712151
267	260290	710941
268	261197	709796
269	262090	708615
270	262909	707235
271	263720	705839
272	264531	704449
273	265333	703036
274	266167	701713
275	267039	700495
276	268316	700334
277	269488	699894
278	270377	698718
279	271304	697639
280	272127	696298
281	272953	694967
282	273780	693641
283	274610	692327
284	275470	691093
285	276604	690544
286	277539	689497
287	278439	688365
288	279291	687116
289	280124	685823
290	280944	684501
291	281759	683170
292	282594	681890
293	283414	680579
294	284265	679346
295	285079	678026
296	285959	676867
297	286861	675761
298	287771	674675
299	288675	673576
300	289925	673282
301	290913	672377
302	291828	671302
303	292680	670083
304	293677	669200
305	294960	668963
306	295797	667711
307	296591	666367
308	297384	665024
309	298216	663773
310	299028	662477
311	299823	661148
312	300598	659779
313	301422	658521
314	302207	657181
315	302984	655828
316	303768	654492
317	304572	653202
318	305344	651847
319	306119	650503
320	306893	649161
321	307684	647857
322	308487	646582
323	309259	645245
324	310031	643911
325	310929	642841
326	311784	641684
327	312678	640609
328	313557	639504
329	314425	638378
330	315289	637247
331	316189	636188
332	317068	635089
333	317946	633989
334	318855	632951
335	319718	631825
336	320618	630770
337	321522	629727
338	322384	628601
339	323241	627469
340	324100	626340
341	325099	625484
342	325963	624367
343	326823	623243
344	327697	622150
345	328575	621064
346	329460	619993
347	330275	618792
348	331127	617662
349	331982	616539
350	332848	615437
351	333773	614447
352	334610	613295
353	335456	612160
354	336329	611076
355	337139	609881
356	338034	608841
357	338911	607768
358	339909	606912
359	340817	605897
360	341647	604744
361	342644	603887
362	343419	602639
363	344194	601394
364	345007	600218
365	345777	598969
366	346546	597722
367	347323	596489
368	348098	595257
369	348880	594040
370	349689	592870
371	350457	591633
372	351254	590445
373	352018	589207
374	352792	587986
375	353560	586759
376	354327	585533
377	355113	584340
378	356024	583354
379	356807	582159
380	357976	581594
381	358867	580576
382	359770	579578
383	360547	578378
384	361315	577166
385	362078	575948
386	362861	574764
387	363636	573570
388	364401	572362
389	365165	571156
390	365936	569962
391	366716	568784
392	367492	567603
393	368314	566493
394	369091	565317
395	369887	564172
396	370658	562990
397	371427	561807
398	372196	560626
399	372980	559470
400	373762	558313
401	374532	557140
402	375309	555978
403	376075	554804
404	376846	553638
405	377619	552478
406	378466	551426
407	379895	551220
408	380870	550353
409	381642	549192
410	382413	548033
411	383176	546863
412	383973	545743
413	384758	544609
414	385523	543448
415	386288	542290
416	387054	541133
417	387825	539986
418	388587	538828
419	389349	537673
420	390138	536556
421	390910	535417
422	391720	534332
423	392493	533198
424	393259	532056
425	394020	530910
426	394791	529779
427	395568	528656
428	396333	527521
429	397179	526493
430	398088	525551
431	398936	524527
432	399773	523490
433	400644	522499
434	401451	521425
435	402264	520360
436	403074	519293
437	403855	518189
438	404630	517078
439	405394	515956
440	406172	514853
441	407103	513945
442	407914	512885
443	408707	511805
444	409535	510769
445	410373	509745
446	411193	508702
447	411995	507637
448	412762	506530
449	413530	505426
450	414300	504325
451	415096	503258
452	415871	502166
453	416635	501064
454	418257	500989
455	420301	501412
456	421229	500497
457	422020	499421
458	423077	498659
459	423888	497607
460	424660	496512
461	425478	495470
462	426260	494388
463	427064	493333
464	427838	492243
465	428606	491149
466	429375	490058
467	430149	488973
468	431025	488004
469	431798	486922
470	432567	485835
471	433345	484759
472	434107	483667
473	434877	482585
474	435691	481553
475	436470	480484
476	437257	479424
477	438041	478363
478	438826	477304
479	439611	476245
480	440440	475235
481	441626	474611
482	442715	473879
483	443648	472980
484	444468	471961
485	445587	471258
486	447015	470880
487	448279	470325
488	449264	469476
489	450045	468414
490	450819	467346
491	451655	466343
492	452433	465281
493	453597	464616
494	454698	463884
495	455696	463046
496	457094	462613
497	459048	462735
498	460559	462405
499	461523	461523
500	462305	460460
501	463095	459405
502	463997	458463
503	464873	457495
504	465700	456478
505	466538	455474
506	467317	454412
507	468095	453352
508	468869	452288
509	469689	451270
510	470460	450205
511	471230	449141
512	472040	448116
513	472808	447052
514	473582	445995
515	474353	444935
516	475144	443896
517	476118	443028
518	476943	442022
519	481382	444353
520	483304	444343
521	485273	444369
522	486727	443918
523	487719	443043
524	488487	441965
525	489305	440932
526	490396	440147
527	491422	439302
528	492516	438517
529	493471	437606
530	494881	437098
531	496029	436357
532	498927	437146
533	498927	437146
534	502355	437444
535	504744	437759
